model_name,outcome,term,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
RQ1_Mental_Health_Harm_Component,Mental_Health_Harm_Component,C(Most_Used_Platform)[T.YouTube],0.1145311375219662,0.1600875519778016,0.7154281273402666,0.47459489199895843,-0.19980508770230915,0.42886736274624154
RQ1_Conflicts_Over_Social_Media,Conflicts_Over_Social_Media,C(Most_Used_Platform)[T.Instagram],0.132455579763003,0.06367403879473754,2.080213259127361,0.03788717614224405,0.0074298875574201895,0.25748127196858583
RQ1_Conflicts_Over_Social_Media,Conflicts_Over_Social_Media,C(Most_Used_Platform)[T.KakaoTalk],0.5330320015456278,0.14141974046783243,3.769148492157445,0.00017831820771585055,0.2553505276167915,0.810713475474464
RQ1_Conflicts_Over_Social_Media,Conflicts_Over_Social_Media,C(Most_Used_Platform)[T.LINE],-0.2789996668636251,0.2185918304841688,-1.276349926919301,0.2022760757232647,-0.7082106205596757,0.15021128683242552
RQ1_Conflicts_Over_Social_Media,Conflicts_Over_Social_Media,C(Most_Used_Platform)[T.LinkedIn],-0.2595583326842522,0.11878317567180871,-2.1851439079335395,0.02922550006951076,-0.4927923012192058,-0.026324364149298618
RQ1_Conflicts_Over_Social_Media,Conflicts_Over_Social_Media,C(Most_Used_Platform)[T.Snapchat],0.3463833352347554,0.13807438079009887,2.50867201614562,0.012354719875674141,0.07527056524401216,0.6174961052254986
RQ1_Conflicts_Over_Social_Media,Conflicts_Over_Social_Media,C(Most_Used_Platform)[T.TikTok],0.41474309893011796,0.06586977858978979,6.296409488681743,5.524515419617392e-10,0.28540601242670016,0.5440801854335358
RQ1_Conflicts_Over_Social_Media,Conflicts_Over_Social_Media,C(Most_Used_Platform)[T.Twitter],-0.01733589022315779,0.10753599887888232,-0.16121011013886788,0.8719767345850113,-0.22848572383418686,0.19381394338787128
RQ1_Conflicts_Over_Social_Media,Conflicts_Over_Social_Media,C(Most_Used_Platform)[T.VKontakte],-1.133401773591002,0.20507979103422966,-5.52663803622575,4.685493439420623e-08,-1.5360814734618689,-0.7307220737201352
RQ1_Conflicts_Over_Social_Media,Conflicts_Over_Social_Media,C(Most_Used_Platform)[T.WeChat],-0.4598093642418606,0.45427456330565796,-1.0121838231397484,0.31181719799850777,-1.351789719246022,0.4321709907623009
RQ1_Conflicts_Over_Social_Media,Conflicts_Over_Social_Media,C(Most_Used_Platform)[T.WhatsApp],-0.08160994762213936,0.09222334376061365,-0.8849163811927732,0.37652061780004925,-0.2626929699878744,0.09947307474359571
RQ1_Conflicts_Over_Social_Media,Conflicts_Over_Social_Media,C(Most_Used_Platform)[T.YouTube],-0.1505145458402265,0.1551561175869616,-0.9700845070183353,0.33235600802086807,-0.4551677666571837,0.15413867497673073
