outcome,comparison,coef,std err,t,P>|t|,Conf. Int. Low,Conf. Int. Upp.,pvalue-fdr_bh,reject-fdr_bh
Harm_Index,TikTok-KakaoTalk,0.058419638479189406,0.10343390667098902,0.5648016241426067,0.5723985990867148,-0.14467562646475246,0.2615149034231313,0.6296384589953863,False
Harm_Index,Twitter-KakaoTalk,-0.3167317887711031,0.1257333499874465,-2.5190753988717094,0.011999007229160702,-0.5636126119929922,-0.06985096554921397,0.023998014458321403,True
Harm_Index,VKontakte-KakaoTalk,-1.088530834358516,0.1820230334982626,-5.98018181236885,3.633541137910859e-09,-1.4459379690597172,-0.7311236996573148,3.9968952517019445e-08,True
Harm_Index,WeChat-KakaoTalk,-1.0760951049289602,0.3565455582071265,-3.0181138992168535,0.002640488676041059,-1.7761819230648956,-0.3760082867930248,0.006970890104748395,True
Harm_Index,WhatsApp-KakaoTalk,-0.42821781934300435,0.11892431134714905,-3.600759293808347,0.00034084049056485027,-0.6617289115823488,-0.19470672710365983,0.0011247736188640057,True
Harm_Index,YouTube-KakaoTalk,-0.07098446655254675,0.1480185644379356,-0.4795646196279025,0.6316942122650029,-0.361622909290359,0.2196539761852655,0.6834724263850851,False
Harm_Index,LinkedIn-LINE,0.13515038602859986,0.18091493298949674,0.7470383112954319,0.45530368675414573,-0.22008096344263633,0.49038173549983605,0.518104195271959,False
Harm_Index,Snapchat-LINE,0.471673224679746,0.18942927092791317,2.489970121139515,0.013017776382508627,0.09972374306906168,0.8436227062904302,0.025269801213104983,True
Harm_Index,TikTok-LINE,0.3130839398425031,0.16330847129426138,1.9171322673051365,0.055648017155695624,-0.007576647314849416,0.6337445269998556,0.08957973493355881,False
Harm_Index,Twitter-LINE,-0.06206748740778942,0.14856881460812613,-0.41776928470151886,0.6762502604539314,-0.3537863611927995,0.22965138637722063,0.7123752616592217,False
Harm_Index,VKontakte-LINE,-0.8338665329952024,0.21941388542218113,-3.8004273585089368,0.00015766343592947028,-1.2646916137295476,-0.40304145226085714,0.0005780992650747244,True
Harm_Index,WeChat-LINE,-0.8214308035656466,0.3790289706229239,-2.16719793797199,0.030572955627671424,-1.5656644082669882,-0.0771971988643051,0.05453554247098146,False
Harm_Index,WhatsApp-LINE,-0.17355351797969065,0.17620164021072313,-0.9849710693506285,0.3249954317598909,-0.519530189981301,0.1724231540219196,0.39721663881764435,False
Harm_Index,YouTube-LINE,0.18367983481076694,0.19769220032079182,0.9291202916084333,0.35316286677101977,-0.2044941314807272,0.5718538011022611,0.41654979476952303,False
Harm_Index,Snapchat-LinkedIn,0.33652283865114613,0.12935331492747076,2.60157877546344,0.0094854499374465,0.08253411665365934,0.5905115606486329,0.0208679898623823,True
Harm_Index,TikTok-LinkedIn,0.17793355381390324,0.09493184620898776,1.874329436532724,0.061321902130551637,-0.008467686146605702,0.3643347937744122,0.09412198931666066,False
Harm_Index,Twitter-LinkedIn,-0.19721787343638927,0.11198314424872678,-1.7611389174637466,0.07867305611179043,-0.4170997969026893,0.02266405002991073,0.11538714896395931,False
Harm_Index,VKontakte-LinkedIn,-0.9690169190238023,0.1666723949721112,-5.813901691314539,9.464490641608772e-09,-1.2962826610340723,-0.6417511770135322,7.808204779327237e-08,True
Harm_Index,WeChat-LinkedIn,-0.9565811895942464,0.3531577829248582,-2.7086510218515536,0.006929048184536175,-1.650016019608807,-0.2631463595796859,0.016332756434978127,True
Harm_Index,WhatsApp-LinkedIn,-0.3087039040082905,0.11243161691679608,-2.7457036772560497,0.006200845928232328,-0.5294664156518444,-0.08794139236473666,0.015157623380123468,True
Harm_Index,YouTube-LinkedIn,0.048529448782167084,0.13737534109272567,0.35326171637609005,0.724003861732278,-0.2212107379125015,0.3182696354768357,0.7466289824114117,False
Harm_Index,TikTok-Snapchat,-0.15858928483724288,0.09996595559723455,-1.5864329399921235,0.11311506580180282,-0.3548751343312089,0.037696564656723136,0.1588424328280635,False
Harm_Index,Twitter-Snapchat,-0.5337407120875354,0.12452891388627119,-4.286078593562504,2.0866863712282562e-05,-0.778256592545981,-0.2892248316290898,9.062977805307424e-05,True
Harm_Index,VKontakte-Snapchat,-1.3055397576749486,0.18010632001048923,-7.248717077773368,1.1680361668363097e-12,-1.6591833737568715,-0.9518961415930256,2.5696795670398813e-11,True
Harm_Index,WeChat-Snapchat,-1.2931040282453927,0.35486319905718317,-3.643950772243983,0.0002893512777533649,-1.9898874888239706,-0.5963205676668147,0.001005114964827478,True
Harm_Index,WhatsApp-Snapchat,-0.6452267426594367,0.11655062285336341,-5.536021403087823,4.4518469074110535e-08,-0.8740770335324243,-0.4163764517864491,2.9382189588912954e-07,True
Harm_Index,YouTube-Snapchat,-0.28799338986897904,0.14328151006369536,-2.0099829331848365,0.04483517597177765,-0.5693304986037122,-0.006656281134245878,0.07520132868096678,False
Harm_Index,Twitter-TikTok,-0.3751514272502925,0.08156103638482652,-4.5996402679366275,5.065081671911121e-06,-0.5352987215642262,-0.21500413293635884,2.5715030026625694e-05,True
Harm_Index,VKontakte-TikTok,-1.1469504728377056,0.15585864168836708,-7.358914850104916,5.469566367515829e-13,-1.452983118672015,-0.840917827003396,1.8049569012802234e-11,True
Harm_Index,WeChat-TikTok,-1.1345147434081497,0.34027883421764094,-3.334073792795819,0.0009031970781273715,-1.8026614103427656,-0.46636807647353373,0.0028386193884003107,True
Harm_Index,WhatsApp-TikTok,-0.48663745782219375,0.07223565084757044,-6.736804501825309,3.5013526872493085e-11,-0.6284741061656738,-0.3448008094787138,4.6217855471690873e-10,True
Harm_Index,YouTube-TikTok,-0.12940410503173616,0.11581500183173671,-1.1173345679322488,0.26425360118818264,-0.3568099841920265,0.09800177412855418,0.335398801508078,False
Harm_Index,VKontakte-Twitter,-0.7717990455874131,0.17000989151517387,-4.539730239863884,6.682645970013411e-06,-1.105618052058813,-0.43798003911601324,3.150390243006322e-05,True
Harm_Index,WeChat-Twitter,-0.7593633161578572,0.34960107345642005,-2.1720851959927305,0.030200803689817767,-1.4458144512210245,-0.07291218109469011,0.05453554247098146,False
Harm_Index,WhatsApp-Twitter,-0.11148603057190123,0.10158040807296241,-1.0975150886559137,0.2728123372616674,-0.3109419010372333,0.08796983989343082,0.3397285709296236,False
Harm_Index,YouTube-Twitter,0.24574732221855636,0.1358091654004486,1.8095046935451133,0.07082266135954368,-0.02091763627088203,0.5124122807079947,0.10623399203931552,False
Harm_Index,WeChat-VKontakte,0.012435729429555842,0.3741238650613797,0.03323960482316627,0.9734934596388986,-0.7221665682307722,0.7470380270898839,0.9734934596388986,False
Harm_Index,WhatsApp-VKontakte,0.6603130150155119,0.16723486264897094,3.9484172412155534,8.703119411964935e-05,0.3319428525542421,0.9886831774767817,0.000337885812464521,True
Harm_Index,YouTube-VKontakte,1.0175463678059695,0.18004808388198856,5.651525669514562,2.3574722779271336e-08,0.6640170999327513,1.3710756356791878,1.7288130038132314e-07,True
Harm_Index,WhatsApp-WeChat,0.647877285585956,0.34532395356319456,1.8761434846928278,0.06107204632422915,-0.030175609230183142,1.325930180402095,0.09412198931666066,False
Harm_Index,YouTube-WeChat,1.0051106383764137,0.3604122363583189,2.7887805600949154,0.005441565664364674,0.29743149342189124,1.712789783330936,0.013813205148002635,True
Harm_Index,YouTube-WhatsApp,0.3572333527904576,0.13328995278757816,2.6801221346351145,0.007541245481960162,0.09551493619939794,0.6189517693815172,0.017162834545150715,True
Sleep_Harm_Component,Instagram-Facebook,0.1498670670918606,0.07622717197938891,1.9660583385198023,0.04970622175243171,0.00019295937082247638,0.2995411748128987,0.07629327059675566,False
Sleep_Harm_Component,KakaoTalk-Facebook,0.008825816683912246,0.16930019018697687,0.05213116815855271,0.9584397865293536,-0.32359967209178925,0.34125130545961374,0.9862034335577345,False
