bootstrap_indirect_effect,analysis
0.10586090757826812,primary_academic_harm_binary
0.11166912741734455,primary_academic_harm_binary
0.0845177473589423,primary_academic_harm_binary
0.12027227858915714,primary_academic_harm_binary
0.07437544265072062,primary_academic_harm_binary
0.10745524749997389,primary_academic_harm_binary
0.10818817477366567,primary_academic_harm_binary
0.0971148339197012,primary_academic_harm_binary
0.08996602555910956,primary_academic_harm_binary
0.13237264129760257,primary_academic_harm_binary
0.1073947945514944,primary_academic_harm_binary
0.11404540811767383,primary_academic_harm_binary
0.1028493272070286,primary_academic_harm_binary
0.09827817759736611,primary_academic_harm_binary
0.10596252982222094,primary_academic_harm_binary
0.10426816143479635,primary_academic_harm_binary
0.09285603439949341,primary_academic_harm_binary
0.10295115900508256,primary_academic_harm_binary
0.12434667758903827,primary_academic_harm_binary
0.11553513055104649,primary_academic_harm_binary
0.08636972985448897,primary_academic_harm_binary
0.11715308267554712,primary_academic_harm_binary
0.12222424466561567,primary_academic_harm_binary
0.10392602687688673,primary_academic_harm_binary
0.10236908124230638,primary_academic_harm_binary
0.12629089065259025,primary_academic_harm_binary
0.09174638106118715,primary_academic_harm_binary
0.0893128112854118,primary_academic_harm_binary
0.07704340191265355,primary_academic_harm_binary
0.10074820870202729,primary_academic_harm_binary
0.11921657720320943,primary_academic_harm_binary
0.09226558968523127,primary_academic_harm_binary
0.09407032282968586,primary_academic_harm_binary
0.09362982515862589,primary_academic_harm_binary
0.09354829555627303,primary_academic_harm_binary
0.12606334155469728,primary_academic_harm_binary
0.09337145594513982,primary_academic_harm_binary
0.1032385583575918,primary_academic_harm_binary
0.11820726742777846,primary_academic_harm_binary
0.11545661747655676,primary_academic_harm_binary
0.08041944743265138,primary_academic_harm_binary
0.11948151119648168,primary_academic_harm_binary
0.1031798020926833,primary_academic_harm_binary
0.11371852588433927,primary_academic_harm_binary
0.11285050322275285,primary_academic_harm_binary
0.1209498496171565,primary_academic_harm_binary
0.10343141042966156,primary_academic_harm_binary
0.1389579006098807,primary_academic_harm_binary
0.09764581209694022,primary_academic_harm_binary
0.08275268721551567,primary_academic_harm_binary
0.10356195974131412,primary_academic_harm_binary
0.11703498645383319,primary_academic_harm_binary
0.09267219034204956,primary_academic_harm_binary
0.1211173274049147,primary_academic_harm_binary
0.12486221480407901,primary_academic_harm_binary
0.11013508166972014,primary_academic_harm_binary
0.10806501447425122,primary_academic_harm_binary
0.11088709184478572,primary_academic_harm_binary
0.11211425221876106,primary_academic_harm_binary
0.13805290379650817,primary_academic_harm_binary
0.08136605381484772,primary_academic_harm_binary
0.11947444793893047,primary_academic_harm_binary
0.10597564451129934,primary_academic_harm_binary
0.0852753286476944,primary_academic_harm_binary
0.10371103908117191,primary_academic_harm_binary
0.11330842397639201,primary_academic_harm_binary
0.08394326259865872,primary_academic_harm_binary
0.1108551376398168,primary_academic_harm_binary
0.12037096257310669,primary_academic_harm_binary
0.12329087178303513,primary_academic_harm_binary
0.11553188146533161,primary_academic_harm_binary
0.1170777483703135,primary_academic_harm_binary
0.11862284222733147,primary_academic_harm_binary
0.09751995982045422,primary_academic_harm_binary
0.11279169738056434,primary_academic_harm_binary
0.1259901560223601,primary_academic_harm_binary
0.10471916659070912,primary_academic_harm_binary
0.07415321117506317,primary_academic_harm_binary
0.10103782369846627,primary_academic_harm_binary
0.09207598818143586,primary_academic_harm_binary
0.11693502449911194,primary_academic_harm_binary
0.09347521196524855,primary_academic_harm_binary
0.10822745503133789,primary_academic_harm_binary
0.10134129523197305,primary_academic_harm_binary
0.07901444028257806,primary_academic_harm_binary
0.10290723592927858,primary_academic_harm_binary
0.11830571758259316,primary_academic_harm_binary
0.11561255548229984,primary_academic_harm_binary
0.12867223026039498,primary_academic_harm_binary
0.10158345626293314,primary_academic_harm_binary
0.09342025736000967,primary_academic_harm_binary
0.11529917244294947,primary_academic_harm_binary
0.12341609353296355,primary_academic_harm_binary
0.08708327235521841,primary_academic_harm_binary
0.1226118998806092,primary_academic_harm_binary
0.11458482684226508,primary_academic_harm_binary
0.12637729916078733,primary_academic_harm_binary
0.09990409418057779,primary_academic_harm_binary
0.09962739406465232,primary_academic_harm_binary
0.10323271459886968,primary_academic_harm_binary
0.09482681436575831,primary_academic_harm_binary
0.11289254446746103,primary_academic_harm_binary
0.09183762607424584,primary_academic_harm_binary
0.12027824058514369,primary_academic_harm_binary
0.1052820275582704,primary_academic_harm_binary
0.12036101805818578,primary_academic_harm_binary
0.08256182424348973,primary_academic_harm_binary
0.10271429517145149,primary_academic_harm_binary
0.0935055653667969,primary_academic_harm_binary
0.10556452428683677,primary_academic_harm_binary
0.10485345779257896,primary_academic_harm_binary
0.0872880454715679,primary_academic_harm_binary
0.129438769132346,primary_academic_harm_binary
0.10529974610299157,primary_academic_harm_binary
0.09537756640738931,primary_academic_harm_binary
0.1041014212042498,primary_academic_harm_binary
0.10316236449277577,primary_academic_harm_binary
0.08348375541092339,primary_academic_harm_binary
0.09241225509778449,primary_academic_harm_binary
0.07800729608526714,primary_academic_harm_binary
0.10064058153713136,primary_academic_harm_binary
0.09670544138164637,primary_academic_harm_binary
0.09445082488874502,primary_academic_harm_binary
0.09936357454502613,primary_academic_harm_binary
0.09873067178663825,primary_academic_harm_binary
0.11022446698793506,primary_academic_harm_binary
0.11855280332756106,primary_academic_harm_binary
0.09954021865706109,primary_academic_harm_binary
0.09517284205848747,primary_academic_harm_binary
0.0835330989375677,primary_academic_harm_binary
0.11121020475683052,primary_academic_harm_binary
0.12868404785744633,primary_academic_harm_binary
0.124225431735968,primary_academic_harm_binary
0.12891199617595334,primary_academic_harm_binary
0.08698991721517417,primary_academic_harm_binary
0.09078026037640077,primary_academic_harm_binary
0.11391630304717944,primary_academic_harm_binary
0.13161864041430033,primary_academic_harm_binary
0.08911856171359643,primary_academic_harm_binary
0.0976709662253924,primary_academic_harm_binary
0.10060158721446301,primary_academic_harm_binary
0.1297156546768452,primary_academic_harm_binary
0.11962810981221432,primary_academic_harm_binary
0.10265252520458633,primary_academic_harm_binary
0.09530013618160686,primary_academic_harm_binary
0.10972720350792742,primary_academic_harm_binary
0.11455279150279796,primary_academic_harm_binary
0.12123605232724603,primary_academic_harm_binary
0.11189221234332113,primary_academic_harm_binary
0.1130332306384353,primary_academic_harm_binary
0.10900218465915867,primary_academic_harm_binary
0.1102453216879132,primary_academic_harm_binary
0.0913538564964115,primary_academic_harm_binary
0.11156528876635817,primary_academic_harm_binary
0.08279323659030767,primary_academic_harm_binary
0.09497951541788457,primary_academic_harm_binary
0.10478418649003317,primary_academic_harm_binary
0.12439807505821797,primary_academic_harm_binary
0.11653655167785537,primary_academic_harm_binary
0.09167287250318933,primary_academic_harm_binary
0.09839230324874129,primary_academic_harm_binary
0.07922807757675826,primary_academic_harm_binary
0.09142340767066927,primary_academic_harm_binary
0.14051621573521592,primary_academic_harm_binary
0.12091708395110456,primary_academic_harm_binary
0.09296514397231964,primary_academic_harm_binary
0.12291853068328569,primary_academic_harm_binary
0.10200737653680206,primary_academic_harm_binary
0.1049569195216076,primary_academic_harm_binary
0.09005521367433135,primary_academic_harm_binary
0.11030947605095359,primary_academic_harm_binary
0.08199218242041073,primary_academic_harm_binary
0.12230387505851782,primary_academic_harm_binary
0.11733828694138711,primary_academic_harm_binary
0.11447237563736884,primary_academic_harm_binary
0.1062506244283733,primary_academic_harm_binary
0.10408662306392835,primary_academic_harm_binary
0.10474041406209054,primary_academic_harm_binary
0.09827144231281597,primary_academic_harm_binary
0.09041092033588276,primary_academic_harm_binary
0.115753098151239,primary_academic_harm_binary
0.08137041537824632,primary_academic_harm_binary
0.10002018349875093,primary_academic_harm_binary
0.09947594039133885,primary_academic_harm_binary
0.09101605381611348,primary_academic_harm_binary
0.09931838132092013,primary_academic_harm_binary
0.1183745283289856,primary_academic_harm_binary
0.09913734818719881,primary_academic_harm_binary
0.12713329602693077,primary_academic_harm_binary
0.08291447142233675,primary_academic_harm_binary
0.06731557875440339,primary_academic_harm_binary
0.098080641414326,primary_academic_harm_binary
0.11147512870329754,primary_academic_harm_binary
0.09954391779154385,primary_academic_harm_binary
0.12996173929959368,primary_academic_harm_binary
0.10812944530116934,primary_academic_harm_binary
0.10616026947311452,primary_academic_harm_binary
0.10090825129235556,primary_academic_harm_binary
0.11484373987156196,primary_academic_harm_binary
0.0959351911850225,primary_academic_harm_binary
0.12217954508296504,primary_academic_harm_binary
0.09471656020199293,primary_academic_harm_binary
0.10309411009010368,primary_academic_harm_binary
0.0919894487660964,primary_academic_harm_binary
0.10209866447558996,primary_academic_harm_binary
0.11317590872003275,primary_academic_harm_binary
0.08234783675438212,primary_academic_harm_binary
0.10780761316766943,primary_academic_harm_binary
0.0949118378692367,primary_academic_harm_binary
0.11348331381848493,primary_academic_harm_binary
0.09577926708791616,primary_academic_harm_binary
0.0869992679482879,primary_academic_harm_binary
0.08785555169061614,primary_academic_harm_binary
0.11320458200455362,primary_academic_harm_binary
0.10632089875851941,primary_academic_harm_binary
0.11493293413922938,primary_academic_harm_binary
0.10509902888539724,primary_academic_harm_binary
0.09442582602276628,primary_academic_harm_binary
0.09627674499050251,primary_academic_harm_binary
0.10633674964644821,primary_academic_harm_binary
0.12242938080991203,primary_academic_harm_binary
0.11049713655165842,primary_academic_harm_binary
0.09688102669243132,primary_academic_harm_binary
0.14759592175528585,primary_academic_harm_binary
0.13453730882530437,primary_academic_harm_binary
0.09545338012533568,primary_academic_harm_binary
0.08178317521258908,primary_academic_harm_binary
0.10468234141607614,primary_academic_harm_binary
0.10895669434747261,primary_academic_harm_binary
0.10054186939649278,primary_academic_harm_binary
0.11921317788255835,primary_academic_harm_binary
0.10109713314970491,primary_academic_harm_binary
0.11689300710093693,primary_academic_harm_binary
0.11400900549137082,primary_academic_harm_binary
0.109810523390424,primary_academic_harm_binary
0.10646278723331044,primary_academic_harm_binary
0.1329997406020752,primary_academic_harm_binary
0.08120656361591187,primary_academic_harm_binary
0.11629633508939673,primary_academic_harm_binary
0.10953800109508602,primary_academic_harm_binary
0.09540910388699639,primary_academic_harm_binary
0.10434158449219536,primary_academic_harm_binary
0.11292760701117803,primary_academic_harm_binary
0.09644852793964934,primary_academic_harm_binary
0.11392258360233108,primary_academic_harm_binary
0.09435167106430117,primary_academic_harm_binary
0.08370755090143081,primary_academic_harm_binary
0.11505892196280278,primary_academic_harm_binary
0.11847640522283173,primary_academic_harm_binary
0.11758275979740206,primary_academic_harm_binary
0.11975023890957404,primary_academic_harm_binary
0.09676526424306515,primary_academic_harm_binary
0.08045500125862257,primary_academic_harm_binary
0.09306239443914663,primary_academic_harm_binary
0.10806100689103375,primary_academic_harm_binary
0.09100891199588437,primary_academic_harm_binary
0.1095160037691141,primary_academic_harm_binary
0.08204254695948503,primary_academic_harm_binary
0.12361418730687053,primary_academic_harm_binary
0.10298225790179302,primary_academic_harm_binary
0.12063674403736094,primary_academic_harm_binary
0.11682612297735688,primary_academic_harm_binary
0.10284927569462624,primary_academic_harm_binary
0.12677319837363776,primary_academic_harm_binary
